,tanggal,pm10,so2,co,o3,no2,max,critical,categori
217,2010-08-06,77.0,19.0,95.0,18.0,30.0,95.0,CO,SEDANG
218,2010-08-07,74.0,18.0,71.0,43.0,22.0,74.0,PM10,SEDANG
219,2010-08-08,60.0,12.0,42.0,73.0,19.0,73.0,O3,SEDANG
220,2010-08-09,50.0,16.0,43.0,65.0,21.0,65.0,O3,SEDANG
221,2010-08-10,62.0,21.0,36.0,59.0,24.0,62.0,PM10,SEDANG
222,2010-08-11,22.0,13.0,19.0,23.0,8.0,23.0,O3,BAIK
223,2010-08-12,25.0,14.0,19.0,20.0,8.0,25.0,PM10,BAIK
224,2010-08-13,54.0,16.0,20.0,31.0,9.0,54.0,PM10,SEDANG
225,2010-08-14,43.0,16.0,33.0,28.0,6.0,43.0,PM10,BAIK
226,2010-08-15,53.0,15.0,27.0,44.0,11.0,53.0,PM10,SEDANG
227,2010-08-16,60.0,17.0,34.0,37.0,25.0,60.0,PM10,SEDANG
228,2010-08-17,54.0,14.0,43.0,46.0,15.0,54.0,PM10,SEDANG
229,2010-08-18,60.0,15.0,45.0,74.0,29.0,74.0,O3,SEDANG
230,2010-08-19,39.0,12.0,40.0,34.0,26.0,40.0,CO,BAIK
231,2010-08-20,44.0,17.0,36.0,29.0,14.0,44.0,PM10,BAIK
232,2010-08-21,52.0,14.0,45.0,30.0,15.0,52.0,PM10,SEDANG
233,2010-08-22,48.0,18.0,28.0,71.0,21.0,71.0,O3,SEDANG
234,2010-08-23,65.0,17.0,34.0,48.0,16.0,65.0,PM10,SEDANG
235,2010-08-24,51.0,18.0,23.0,43.0,12.0,51.0,PM10,SEDANG
236,2010-08-25,68.0,18.0,80.0,45.0,17.0,80.0,CO,SEDANG
237,2010-08-26,45.0,15.0,25.0,33.0,17.0,45.0,PM10,BAIK
238,2010-08-27,49.0,19.0,33.0,36.0,15.0,49.0,PM10,BAIK
239,2010-08-28,48.0,17.0,45.0,67.0,20.0,67.0,O3,SEDANG
240,2010-08-29,59.0,23.0,39.0,70.0,20.0,70.0,O3,SEDANG
241,2010-08-30,57.0,17.0,22.0,35.0,15.0,57.0,PM10,SEDANG
242,2010-08-31,52.0,16.0,27.0,35.0,14.0,52.0,PM10,SEDANG
243,2010-09-01,55.0,5.0,39.0,23.0,16.0,55.0,PM10,SEDANG
244,2010-09-02,52.0,7.0,30.0,34.0,16.0,52.0,PM10,SEDANG
245,2010-09-03,45.0,5.0,33.0,27.0,15.0,45.0,PM10,BAIK
246,2010-09-04,59.0,12.0,46.0,27.0,15.0,59.0,PM10,SEDANG
247,2010-09-05,58.0,16.0,28.0,51.0,16.0,51.0,O3,SEDANG
248,2010-09-06,54.0,20.0,36.0,45.0,25.0,54.0,PM10,SEDANG
249,2010-09-07,51.0,16.0,34.0,39.0,20.0,51.0,PM10,SEDANG
250,2010-09-08,61.0,16.0,40.0,77.0,26.0,77.0,O3,SEDANG
251,2010-09-09,38.0,11.0,32.0,29.0,11.0,38.0,PM10,BAIK
252,2010-09-10,53.0,16.0,44.0,62.0,21.0,62.0,O3,SEDANG
253,2010-09-11,32.0,15.0,28.0,43.0,14.0,43.0,O3,BAIK
254,2010-09-12,28.0,14.0,23.0,19.0,11.0,28.0,PM10,BAIK
255,2010-09-13,24.0,10.0,18.0,51.0,13.0,51.0,O3,SEDANG
256,2010-09-14,28.0,12.0,26.0,42.0,11.0,42.0,O3,BAIK
257,2010-09-15,36.0,13.0,34.0,42.0,22.0,42.0,O3,BAIK
258,2010-09-16,36.0,12.0,28.0,21.0,14.0,36.0,PM10,BAIK
259,2010-09-17,31.0,14.0,26.0,49.0,16.0,49.0,O3,BAIK
260,2010-09-18,51.0,16.0,32.0,50.0,15.0,51.0,PM10,SEDANG
261,2010-09-19,49.0,14.0,25.0,34.0,11.0,49.0,PM10,BAIK
262,2010-09-20,37.0,14.0,30.0,39.0,15.0,39.0,O3,BAIK
263,2010-09-21,41.0,14.0,30.0,30.0,18.0,41.0,PM10,BAIK
